Tiepoint_ID ,height,time_1,doppler_1,range_1,scpos_inert_1_x,scpos_inert_1_y,scpos_inert_1_z,scvel_inert_1_x,scvel_inert_1_y,scvel_inert_1_z,lookvec_inert_1_x,lookvec_inert_1_y,lookvec_inert_1_z,wavelength_1,time_2,doppler_2,range_2,scpos_inert_2_x,scpos_inert_2_y,scpos_inert_2_z,scvel_inert_2_x,scvel_inert_2_y,scvel_inert_2_z,lookvec_inert_2_x,lookvec_inert_2_y,lookvec_inert_2_z,wavelength_2
      t43s01t43s07_usgs2_427, -0.529, 263857569.556,  456146.37,    4629.28,    3274.63,    5697.08,   -2793.42,  0.293291, -5.034187,  3.482794,   -2375.10,   -3696.13,    1445.21,2.1757127766e-05, 263857570.946,  455881.68,    4621.96,    3275.04,    5690.08,   -2788.58,  0.293178, -5.034383,  3.482890,   -2372.25,   -3689.84,    1441.49,2.1757127766e-05
      t43s01t43s07_usgs2_428, -0.408, 263856741.082,  531837.78,    9205.96,    3014.89,    9832.55,   -5660.42,  0.325544, -4.960679,  3.443505,   -2029.40,   -7895.75,    4279.03,2.1756855034e-05, 263856741.082,  531844.65,    9206.08,    3014.89,    9832.55,   -5660.42,  0.325544, -4.960679,  3.443505,   -2029.40,   -7895.75,    4279.03,2.1756855034e-05
      t43s01t43s07_usgs2_429, -0.708, 263857636.871,  445752.17,    4299.00,    3294.18,    5357.87,   -2558.81,  0.287401, -5.044088,  3.487586,   -2276.34,   -3444.14,    1168.76,2.1757117994e-05, 263857636.871,  445791.10,    4298.72,    3294.18,    5357.87,   -2558.81,  0.287401, -5.044088,  3.487586,   -2276.34,   -3444.14,    1168.76,2.1757117994e-05
     hayes_42_5_t98s01t39s01, -0.738, 444641461.049, -410934.89,    4503.94,    1462.50,    -883.73,   -6745.13, -0.814458, -3.245666, -4.571066,   -1543.67,     721.73,    4176.51,2.1755768246e-05, 251463399.232,  142565.36,    1234.40,     358.43,     -88.83,   -3628.82,  2.685843, -5.403744,  1.848555,    -530.61,    -245.93,    1081.48,2.1756622057e-05
     hayes_42_5_t98s01t59s01, -0.737, 444641461.049, -410934.89,    4503.94,    1462.50,    -883.73,   -6745.13, -0.814458, -3.245666, -4.571066,   -1543.67,     721.73,    4176.51,2.1755768246e-05, 301721879.881,  -12275.51,    1296.76,    -613.25,     747.99,   -3536.09,  5.293345, -0.698657, -2.671684,     354.70,    -779.54,     974.30,2.1756405196e-05
    hayes_146_7_t39s01t56s01, -0.716, 251463574.342,  -27208.22,    1106.85,     827.20,   -1033.86,   -3294.64,  2.665252, -5.384123,  1.967956,    -626.79,      84.06,     909.61, 2.175638358e-05, 297590984.455, -345949.46,    2166.34,    -535.20,    1932.35,   -4177.04,  3.808310,  0.238894, -4.482894,       6.19,   -1260.56,    1748.15,2.1755877477e-05
    hayes_188_2_t56s01t71s01, -0.635, 297591331.613, -414118.00,    3559.01,     787.52,    2007.09,   -5713.92,  3.807541,  0.197158, -4.380038,    -431.23,   -1452.23,    3224.78,2.1755766959e-05, 331734352.321,   -2697.03,    1277.39,    1210.03,   -1543.95,   -3072.58,  4.605070,  3.524763, -1.250560,    -540.17,     935.26,     661.90,2.1756418544e-05
    hayes_188_3_t55s01t71s01, -0.470, 296214303.309, -425750.68,    4409.83,     591.84,    2722.04,   -6337.12,  3.178899,  0.633494, -4.781172,    -192.01,   -2118.90,    3865.88, 2.175534065e-05, 331734358.594,  -12600.27,    1249.66,    1238.92,   -1521.83,   -3080.42,  4.603650,  3.526540, -1.246993,    -537.04,     894.40,     683.69,2.1756418544e-05
    hayes_798_1_t44s01t95s01, -0.189, 265235753.818, -387445.25,    2931.11,    3319.73,   -3586.39,    2457.93, -1.095024, -5.125664,  3.288346,   -1726.25,    1764.56,   -1579.08,2.1755790588e-05, 434998550.421,     -40.09,    1081.83,    3256.19,    1312.35,     721.64,  0.767505, -1.311740, -5.677254,   -1067.18,     -96.49,    -121.16,2.1756394512e-05
   hayes_1236_1_t29s01t25s01, -1.018, 230895577.147, -292682.60,    1591.09,     -27.46,    -719.29,    4021.82,  4.489200, -3.496156,  2.414058,     144.03,     631.10,   -1450.97,2.1755966731e-05, 225386865.477, -437687.05,    3778.53,    -659.23,   -1095.29,    6131.31,  2.354374, -2.958722,  4.732327,     796.35,    1040.72,   -3560.55,2.1755730611e-05
   hayes_1236_1_t25s01t64s01, -1.252, 225386865.477, -437687.05,    3778.53,    -659.23,   -1095.29,    6131.31,  2.354374, -2.958722,  4.732327,     796.35,    1040.72,   -3560.55,2.1755730611e-05, 315231450.369,  -11999.54,    1115.42,     276.73,     589.89,    3471.14,  4.278347,  3.899114, -1.326771,     194.20,    -571.87,    -939.64,2.1756405263e-05
   hayes_1238_1_t29s01t92s01, -0.605, 230895595.148, -302532.47,    1646.73,      53.35,    -782.21,    4065.19,  4.489171, -3.494412,  2.404662,     108.82,     656.16,   -1498.40,2.1755955168e-05, 426733931.765,  369055.99,    2521.91,     946.21,     462.20,    4958.15,  3.209738, -1.224121, -4.617253,    -503.10,    -460.64,   -2421.57,2.1756992703e-05
   hayes_1238_1_t25s01t92s01, -0.602, 225386888.542, -439489.40,    3900.82,    -604.92,   -1163.52,    6240.41,  2.354891, -2.957794,  4.727249,     797.45,    1083.26,   -3673.87,2.1755715375e-05, 426733931.765,  369055.99,    2521.91,     946.21,     462.20,    4958.15,  3.209738, -1.224121, -4.617253,    -503.10,    -460.64,   -2421.57,2.1756992703e-05
   hayes_1238_1_t64s01t92s01, -0.599, 315231460.419,  -12895.84,    1105.03,     319.72,     629.07,    3457.77,  4.277734,  3.897862, -1.333877,     193.20,    -570.88,    -935.05,2.1756405263e-05, 426733931.765,  369055.99,    2521.91,     946.21,     462.20,    4958.15,  3.209738, -1.224121, -4.617253,    -503.10,    -460.64,   -2421.57,2.1756992703e-05
   hayes_1238_3_t29s01t92s01, -0.708, 230895598.148, -304850.65,    1652.84,      66.81,    -792.70,    4072.41,  4.489148, -3.494114,  2.403123,     102.96,     660.65,   -1506.40,2.1755955168e-05, 426733934.615,  369201.32,    2511.20,     955.35,     458.71,    4944.99,  3.209550, -1.224212, -4.618230,    -507.44,    -469.45,   -2409.27,2.1756992703e-05
   hayes_1238_3_t25s01t92s01, -0.709, 225386891.283, -439663.39,    3911.96,    -598.47,   -1171.63,    6253.36,  2.354948, -2.957684,  4.726658,     797.56,    1088.27,   -3687.42,2.1755713189e-05, 426733934.615,  369201.32,    2511.20,     955.35,     458.71,    4944.99,  3.209550, -1.224212, -4.618230,    -507.44,    -469.45,   -2409.27,2.1756992703e-05
   hayes_1238_3_t64s01t92s01, -0.708, 315231461.759,  -12473.82,    1109.28,     325.46,     634.29,    3455.99,  4.277646,  3.897689, -1.334823,     193.11,    -570.85,    -934.54,2.1756405263e-05, 426733934.615,  369201.32,    2511.20,     955.35,     458.71,    4944.99,  3.209550, -1.224212, -4.618230,    -507.44,    -469.45,   -2409.27,2.1756992703e-05
   hayes_1238_4_t29s01t92s01, -0.500, 230895595.548, -302743.06,    1664.99,      55.14,    -783.61,    4066.16,  4.489168, -3.494372,  2.404456,     130.83,     705.01,   -1499.08,2.1755955168e-05, 426733940.600,  360086.62,    2480.99,     974.56,     451.39,    4917.35,  3.209146, -1.224402, -4.620295,    -558.17,    -415.81,   -2376.49,2.1756992703e-05
   hayes_1238_5_t29s01t92s01, -0.662, 230895588.347, -289192.04,    1630.41,      22.81,    -758.44,    4048.83,  4.489204, -3.495080,  2.408180,     164.15,     655.06,   -1482.71,2.1755966731e-05, 426733950.648,  357667.96,    2443.89,    1006.81,     439.08,    4870.90,  3.208436, -1.224721, -4.623802,    -569.31,    -420.52,   -2333.41,2.1756979686e-05
   hayes_1238_5_t25s01t92s01, -0.656, 225386891.283, -439497.37,    3919.92,    -598.47,   -1171.63,    6253.36,  2.354948, -2.957684,  4.726658,     797.56,    1088.27,   -3687.42,2.1755713189e-05, 426733950.648,  357667.96,    2443.89,    1006.81,     439.08,    4870.90,  3.208436, -1.224721, -4.623802,    -569.31,    -420.52,   -2333.41,2.1756979686e-05
    hayes_472_1_t36s01t36s02, -0.498, 244571096.207,  485565.01,    5197.86,   -2863.64,    6543.66,   -2930.89,  3.534295, -4.928473, -0.381233,    1585.50,   -4574.60,    1872.69,2.1756788707e-05, 244571454.943,  381809.00,    3462.96,   -1591.83,    4765.91,   -3062.70,  3.557117, -4.987636, -0.349065,     321.31,   -2793.05,    2002.40,2.1757026235e-05
